Short_Name,School_ID,the_geom,Address,Zip,Lat,Long,Network,Governance,Grade_Cat,Grades,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
CICS - NORTHTOWN HS,400034,POINT (-87.7265042643701 41.99024501112797),3900 W Peterson Ave,60659,41.990245,-87.726504,Charter,Charter,HS,"9, 10, 11, 12",1(773)478-3655,1,NORTH PARK,39,Margaret Laurino
CHICAGO MATH & SCIENCE HS,400035,POINT (-87.674818417881 42.01303148922014),7212 N Clark St,60626,42.013031,-87.674818,Charter,Charter,HS,"6, 7, 8, 9, 10, 11, 12",1(773)761-8960,2,ROGERS PARK,49,Joe A. Moore
CHICAGO VIRTUAL,400036,POINT (-87.64977248488717 41.88055011166055),38 S Peoria St,60607,41.88055,-87.649772,Charter,Charter,HS,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1(312)267-4486,6,NEAR WEST SIDE,25,Daniel S. Solis
COMMUNITY SERVICES WEST HS,400038,POINT (-87.72502202021961 41.86495225895573),1239 S Pulaski Rd,60623,41.864952,-87.725022,Options,Contract,HS,"11, 12",1(773)522-5133,5,NORTH LAWNDALE,24,Michael D. Chandler
ERIE,400039,POINT (-87.69436444554765 41.90677063462042),1405 N Washtenaw Ave,60622,41.906771,-87.694364,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)486-7161,5,WEST TOWN,1,Proco (Joe) Moreno III
FRAZIER CHARTER,400040,POINT (-87.71764197612555 41.86207686339486),3711 W Douglas Blvd,60624,41.862077,-87.717642,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-6776,5,NORTH LAWNDALE,24,Michael D. Chandler
GALAPAGOS,400041,POINT (-87.72195903871022 41.89731302422711),3814 W Iowa St,60651,41.897313,-87.721959,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)384-9400,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
HOPE INSTITUTE,400043,POINT (-87.66807694586895 41.883362026352174),1628 W Washington,60612,41.883362,-87.668077,Contract,Contract,ES,"K, 1, 2, 3, 4, 5",1(773)534-7405,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
KIPP - ASCEND,400044,POINT (-87.72107064667848 41.85836974325148),1616 S Avers Ave,60623,41.85837,-87.721071,Charter,Charter,ES,"6, 7, 8",1(773)521-4766,5,NORTH LAWNDALE,24,Michael D. Chandler
NKRUMAH,400045,POINT (-87.6310581484369 41.69804048768888),314 W 108th St,60628,41.69804,-87.631058,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)568-8000,13,ROSELAND,34,Carrie M. Austin
LEARN - BUTLER,400046,POINT (-87.71067948018276 41.867272713446),1132 S Homan Ave,60624,41.867273,-87.710679,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)826-6330,5,NORTH LAWNDALE,24,Michael D. Chandler
LEARN - CAMPBELL,400047,POINT (-87.69873872021792 41.8778606308216),212 S Francisco Ave,60612,41.877861,-87.698739,Charter,Charter,ES,"K, 1, 2, 3, 4, 5",1(773)826-0370,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
LEARN - EXCEL,400048,POINT (-87.68656837092625 41.874687140382775),2401 W Congress Pkwy,60612,41.874687,-87.686568,Charter,Charter,ES,"K, 1, 2, 3, 4, 5",1(312)243-7001,6,NEAR WEST SIDE,28,Jason C. Ervin
LEGACY,400049,POINT (-87.73034814818169 41.85685915778028),4217 W 18th St,60623,41.856859,-87.730348,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)542-1640,5,NORTH LAWNDALE,24,Michael D. Chandler
NAMASTE,400050,POINT (-87.66772404315803 41.82569975919439),3737 S Paulina St,60609,41.8257,-87.667724,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)715-9558,8,MCKINLEY PARK,12,George A. Cardenas
NOBLE - NOBLE HS,400051,POINT (-87.66262778167372 41.90019052021951),1010 N Noble St,60642,41.900191,-87.662628,Charter,Charter,HS,"9, 10, 11, 12",1(773)862-1449,6,WEST TOWN,2,Bob Fioretti
NOBLE - COMER HS,400052,POINT (-87.60197357257634 41.76408299254324),7200 S Ingleside Ave,60619,41.764083,-87.601974,Charter,Charter,HS,"6, 7, 8, 9, 10, 11, 12",1(773)729-3969,12,GREATER GRAND CROSSING,5,Leslie A. Hairston
NOBLE - GOLDER HS,400053,POINT (-87.6644829982708 41.89528219351542),1454 W Superior St,60642,41.895282,-87.664483,Charter,Charter,HS,"9, 10, 11, 12",1(312)265-9925,6,WEST TOWN,27,"Walter Burnett, Jr."
NOBLE - PRITZKER HS,400054,POINT (-87.73012671512001 41.915214106291515),4131 W Cortland Ave,60639,41.915214,-87.730127,Charter,Charter,HS,"9, 10, 11, 12",1(773)394-2848,4,HERMOSA,35,Rey Colon
NOBLE - RAUNER HS,400055,POINT (-87.66085887019145 41.89242501192071),1337 W Ohio St,60642,41.892425,-87.660859,Charter,Charter,HS,"9, 10, 11, 12",1(312)226-5345,6,WEST TOWN,1,Proco (Joe) Moreno III
NOBLE - ROWE CLARK HS,400056,POINT (-87.7180467674582 41.895362257861905),3645 W Chicago Ave,60651,41.895362,-87.718047,Charter,Charter,HS,"9, 10, 11, 12",1(773)242-2212,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
NOBLE - UIC HS,400057,POINT (-87.67611092929258 41.86581741295497),1231 S Damen Ave,60608,41.865817,-87.676111,Charter,Charter,HS,"9, 10, 11, 12",1(312)768-4858,6,NEAR WEST SIDE,28,Jason C. Ervin
NORTH LAWNDALE - CHRISTIANA HS,400058,POINT (-87.70898711067419 41.85856355371996),1615 S. Christiana Ave.,60623,41.858564,-87.708987,Charter,Charter,HS,"9, 10, 11, 12",1(773)542-1490,5,NORTH LAWNDALE,24,Michael D. Chandler
NORTH LAWNDALE - COLLINS HS,400059,POINT (-87.70068060050889 41.86414584262254),1313 S Sacramento Dr,60623,41.864146,-87.700681,Charter,Charter,HS,"8, 9, 10, 11, 12",1(773)542-6766,5,NORTH LAWNDALE,24,Michael D. Chandler
AHS - PASSAGES,400060,POINT (-87.67116041959915 41.983371435594066),1643 W Bryn Mawr Ave,60660,41.983371,-87.67116,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)433-3530,2,EDGEWATER,40,Patrick O'Connor
PERSPECTIVES - LEADERSHIP HS,400061,POINT (-87.65204508804683 41.745960831206645),8131 S May St,60620,41.745961,-87.652045,Charter,Charter,HS,"6, 7, 8, 9, 10, 11, 12",1(773)358-6100,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
PERSPECTIVES - TECH HS,400062,POINT (-87.65065702433984 41.74594901871308),8131 S May St,60620,41.745949,-87.650657,Charter,Charter,HS,"9, 10, 11, 12",1(773)358-6120,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
PERSPECTIVES - JOSLIN HS,400064,POINT (-87.62853090127128 41.85599910415865),1930 S Archer Ave,60616,41.855999,-87.628531,Charter,Charter,HS,"6, 7, 8, 9, 10, 11, 12",1(312)225-7400,6,NEAR SOUTH SIDE,3,Patricia R. Dowell
PERSPECTIVES - MATH & SCI HS,400066,POINT (-87.62478772028292 41.82778385667928),3663 S Wabash Ave,60653,41.827784,-87.624788,Charter,Charter,HS,"6, 7, 8, 9, 10, 11, 12",1(773)358-6800,9,DOUGLAS,3,Patricia R. Dowell
PLATO,400068,POINT (-87.76333693224704 41.872760427950524),5545 W Harrison St,60644,41.87276,-87.763337,Contract,Contract,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)413-3090 x111,3,AUSTIN,29,Deborah L. Graham
POLARIS,400069,POINT (-87.70779647434141 41.89255017349458),620 N Sawyer Ave,60624,41.89255,-87.707796,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)534-0820,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
PROLOGUE - EARLY COLLEGE HS,400070,POINT (-87.66354080857676 41.90307017915081),1135 N Cleaver St,60622,41.90307,-87.663541,Options,Contract,HS,"9, 10, 11, 12",1(773)935-9925,6,WEST TOWN,27,"Walter Burnett, Jr."
PROVIDENCE ENGLEWOOD,400071,POINT (-87.6639958298005 41.775367367121),6515 S Ashland Ave,60636,41.775367,-87.663996,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)434-0202,11,WEST ENGLEWOOD,16,JoAnn Thompson
SHABAZZ - SHABAZZ,400072,POINT (-87.60025455370554 41.752458488475774),7823 S Ellis Ave,60619,41.752458,-87.600255,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)651-1221,12,GREATER GRAND CROSSING,8,Michelle A. Harris
SHABAZZ - DUSABLE HS,400073,POINT (-87.62501515001941 41.80430932611958),4934 S Wabash Ave,60615,41.804309,-87.625015,Charter,Charter,HS,12,1(773)535-1170,9,GRAND BOULEVARD,3,Patricia R. Dowell
SHABAZZ - SIZEMORE,400074,POINT (-87.66763900783317 41.7673901124393),6936 S Hermitage Ave,60636,41.76739,-87.667639,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-9144,11,WEST ENGLEWOOD,17,Latasha R. Thomas
U OF C - DONOGHUE,400075,POINT (-87.60850078074054 41.827726080886215),707 E 37th St,60653,41.827726,-87.608501,Charter,Charter,ES,"K, 1, 2, 3, 4, 5",1(773)285-5301,9,OAKLAND,4,"William ""Will"" D. Burns"
U OF C - NKO,400076,POINT (-87.59878626823252 41.81118286617196),1119 E 46th St,60653,41.811183,-87.598786,Charter,Charter,ES,"K, 1, 2, 3, 4, 5",1(773)536-2399,9,KENWOOD,4,"William ""Will"" D. Burns"
U OF C - WOODLAWN HS,400077,POINT (-87.59811391957531 41.77812969765141),6420 S University Ave,60637,41.77813,-87.598114,Charter,Charter,HS,"6, 7, 8, 9, 10, 11, 12",1(773)752-8101,9,WOODLAWN,20,Willie B. Cochran
U OF C - WOODSON,400078,POINT (-87.60842562201805 41.81354730382042),4444 S Evans Ave,60653,41.813547,-87.608426,Charter,Charter,ES,"6, 7, 8",1(773)624-0700,9,GRAND BOULEVARD,3,Patricia R. Dowell
UNO - ZIZUMBO,400079,POINT (-87.73049511709266 41.81013478659646),4248 W 47th St,60632,41.810135,-87.730495,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)579-3470 x222,8,ARCHER HEIGHTS,14,Edward M. Burke
UNO - TORRES,400080,POINT (-87.73045044324964 41.80819980590754),4248 W 47th St,60632,41.8082,-87.73045,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)579-3475,8,ARCHER HEIGHTS,14,Edward M. Burke
UNO - DE LAS CASAS,400081,POINT (-87.66794916939253 41.85950400763012),1641 W 16th St,60608,41.859504,-87.667949,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(312)432-3224,7,LOWER WEST SIDE,25,Daniel S. Solis
UNO - FUENTES,400082,POINT (-87.69959365156127 41.937475775349675),2845 W Barry Ave,60618,41.937476,-87.699594,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)279-9826,4,AVONDALE,33,Deborah Mell
UNO - PAZ,400083,POINT (-87.6925508987193 41.85003541244107),2651 W 23rd St,60608,41.850035,-87.692551,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)890-1054,7,SOUTH LAWNDALE,24,Michael D. Chandler
UNO - TAMAYO,400084,POINT (-87.69386163597656 41.799930186168076),5135 S California Ave,60632,41.79993,-87.693862,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)434-6355,8,GAGE PARK,14,Edward M. Burke
UNO - GARCIA HS,400085,POINT (-87.73046684906748 41.809170789108045),4248 W 47th St,60632,41.809171,-87.730467,Charter,Charter,HS,"9, 10, 11, 12",1(773)579-3480 x225,8,ARCHER HEIGHTS,14,Edward M. Burke
URBAN PREP - ENGLEWOOD HS,400086,POINT (-87.63435669188824 41.78149781596477),6201 S Stewart Ave,60621,41.781498,-87.634357,Charter,Charter,HS,"9, 10, 11, 12",1(773)535-9724,11,ENGLEWOOD,20,Willie B. Cochran
YOUNG WOMENS HS,400087,POINT (-87.61872379622207 41.84454380568922),2641 S Calumet Ave,60616,41.844544,-87.618724,Charter,Charter,HS,"8, 9, 10, 11, 12",1(312)949-9400,9,DOUGLAS,4,"William ""Will"" D. Burns"
UNO - MARQUEZ,400089,POINT (-87.69739409676 41.80830882340626),2916 W 47th St,60632,41.808309,-87.697394,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)321-2200,8,BRIGHTON PARK,15,Toni L. Foulkes
CHICAGO TECH HS,400091,POINT (-87.65909480337876 41.86330140820912),1301 W 14th St,60608,41.863301,-87.659095,Contract,Contract,HS,"9, 10, 11, 12",1(773)534-7755,6,NEAR WEST SIDE,25,Daniel S. Solis
CICS - BOND,400092,POINT (-87.6050391022172 41.653663449591534),13300 S Langley Ave,60827,41.653663,-87.605039,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6",1(773)468-1300,13,RIVERDALE,9,Anthony A. Beale
EPIC HS,400094,POINT (-87.55022236992653 41.74484910534052),8255 S Houston Ave,60617,41.744849,-87.550222,Charter,Charter,HS,"9, 10, 11, 12",1(773)535-7930,12,SOUTH CHICAGO,7,Natashia Holmes
ROWE,400096,POINT (-87.66407246833533 41.90779717820805),1424 N Cleaver St,60642,41.907797,-87.664072,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(312)445-5870,6,WEST TOWN,2,Bob Fioretti
NOBLE - BULLS HS,400097,POINT (-87.67819526008935 41.87880880820402),2040 W Adams St,60612,41.878809,-87.678195,Charter,Charter,HS,"9, 10, 11, 12",1(773)534-7599,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
NOBLE - MUCHIN HS,400098,POINT (-87.62633828257938 41.88274025751338),1 N State St,60602,41.88274,-87.626338,Charter,Charter,HS,"9, 10, 11, 12",1(312)445-4680,6,LOOP,42,Brendan M. Reilly
UNO - CISNEROS,400101,POINT (-87.69399616166392 41.8228837408415),2744 W Pershing Rd,60632,41.822884,-87.693996,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(312)376-8830,8,BRIGHTON PARK,12,George A. Cardenas
URBAN PREP - WEST HS,400102,POINT (-87.66010654014806 41.86254001900926),1326 W 14th Pl,60608,41.86254,-87.660107,Charter,Charter,HS,"9, 10, 11, 12",1(773)534-8860,6,NEAR WEST SIDE,25,Daniel S. Solis
INSTITUTO - HEALTH,400104,POINT (-87.68724015857727 41.84596658796288),2520 S Western Ave,60608,41.845967,-87.68724,Charter,Charter,HS,"9, 10, 11, 12",1(773)890-8020,7,LOWER WEST SIDE,25,Daniel S. Solis
URBAN PREP - BRONZEVILLE HS,400105,POINT (-87.61362864745674 41.831117530464496),521 E 35th St,60616,41.831118,-87.613629,Charter,Charter,HS,"9, 10, 11, 12",1(773)495-0870,9,DOUGLAS,4,"William ""Will"" D. Burns"
NOBLE - JOHNSON HS,400106,POINT (-87.63511669814089 41.77836949819535),6350 S Stewart Ave,60621,41.778369,-87.635117,Charter,Charter,HS,"9, 10, 11, 12",1(312)348-1888,11,ENGLEWOOD,20,Willie B. Cochran
LEARN - SOUTH CHICAGO,400107,POINT (-87.54557989247587 41.733333132396425),8914 S Buffalo Ave,60617,41.733333,-87.54558,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)722-8577,12,SOUTH CHICAGO,10,John A. Pope
CICS - HAWKINS HS,400108,POINT (-87.60187328368443 41.6531410568753),801 E 133rd Pl,60827,41.653141,-87.601873,Charter,Charter,HS,"7, 8, 9, 10, 11, 12",1(773)264-0505,13,RIVERDALE,9,Anthony A. Beale
PROLOGUE - JOHNSTON HS,400109,POINT (-87.66147456602064 41.72112619184844),1549 W 95th St,60643,41.721136,-87.662416,Options,Charter,HS,"9, 10, 11, 12",1(773)341-2260,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
LEARN - PERKINS,400111,POINT (-87.6657210550116 41.74312176969033),1700 W 83rd St,60620,41.743122,-87.665721,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7",1(773)722-0200,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
UNO - SOCCER ELEM,400112,POINT (-87.70879678374817 41.8010424135067),5050 S Homan Ave,60632,41.801042,-87.708797,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(312)455-5450,8,GAGE PARK,14,Edward M. Burke
CICS - CHICAGOQUEST HS,400113,POINT (-87.6455614992365 41.90779679515704),1443 N Ogden Ave,60610,41.907797,-87.645561,Charter,Charter,HS,"6, 7, 8, 9, 10, 11, 12",1(773)565-2100,4,NEAR NORTH SIDE,27,"Walter Burnett, Jr."
UNO - SANTIAGO,400114,POINT (-87.68989562535536 41.900343634538686),2510 W Cortez St,60622,41.900344,-87.689896,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(312)455-5410,5,WEST TOWN,1,Proco (Joe) Moreno III
CATALYST - MARIA,400115,POINT (-87.69307532228164 41.77099171830565),6727 S California Ave,60629,41.770992,-87.693075,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1(773)993-1770,10,CHICAGO LAWN,17,Latasha R. Thomas
MONTESSORI ENGLEWOOD,400116,POINT (-87.6761467270317 41.77457160183466),6550 S Seeley Ave,60636,41.774572,-87.676147,Charter,Charter,ES,"K, 1, 2, 3, 4, 5",1(773)306-1759,11,WEST ENGLEWOOD,16,JoAnn Thompson
NOBLE - HANSBERRY HS,400117,POINT (-87.65098672813494 41.73444162257932),8748 S Aberdeen St,60620,41.734442,-87.650987,Charter,Charter,HS,"9, 10, 11, 12",1(773)729-3400,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
NOBLE - DRW HS,400118,POINT (-87.71165422601833 41.86932807602724),931 S Homan Ave,60624,41.869328,-87.711654,Charter,Charter,HS,"9, 10, 11, 12",1(773)893-4500,5,NORTH LAWNDALE,24,Michael D. Chandler
LEGAL PREP HS,400119,POINT (-87.73377838257323 41.88173275809993),4319 W Washington Blvd,60612,41.881733,-87.733778,Charter,Charter,HS,"9, 10, 11, 12",1(773)922-7800,5,WEST GARFIELD PARK,28,Jason C. Ervin
UNO - CLEMENTE,400120,POINT (-87.78783043766516 41.917951679251956),2050 N Natchez Ave,60707,41.917952,-87.78783,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(312)455-5425,3,BELMONT CRAGIN,29,Deborah L. Graham
UNO - ROGERS PARK,400121,POINT (-87.68440568197208 42.01647588122094),7416 N Ridge Blvd,60645,42.016476,-87.684406,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",1(312)455-5440,2,WEST RIDGE,49,Joe A. Moore
YCCS - SCHOLASTIC ACHIEVEMENT,400123,POINT (-87.74253889903409 41.88044718691512),4651 W Madison St,60644,41.880447,-87.742539,Options,Charter,HS,"10, 11, 12",1(773)921-1315,3,AUSTIN,28,Jason C. Ervin
YCCS - MCKINLEY,400124,POINT (-87.62533077021693 41.84133116687557),2920 S Wabash Ave,60616,41.841331,-87.625331,Options,Charter,HS,"10, 11, 12",1(312)949-5010,9,DOUGLAS,3,Patricia R. Dowell
YCCS - ASPIRA PANTOJA,400125,POINT (-87.72713735979745 41.93818660277678),3121 N Pulaski Rd,60641,41.938187,-87.727137,Options,Charter,HS,"10, 11, 12",1(773)252-0970,4,AVONDALE,30,Ariel E. Reboyras
YCCS - ASSOCIATION HOUSE,400126,POINT (-87.70685988337249 41.901572406590965),1116 N Kedzie Ave,60651,41.901572,-87.70686,Options,Charter,HS,"10, 11",1(773)772-7170,5,HUMBOLDT PARK,26,Roberto Maldonado
YCCS - AUSTIN CAREER,400127,POINT (-87.76022117541595 41.894976390364945),5352 W Chicago Ave,60651,41.894976,-87.760221,Options,Charter,HS,"10, 11, 12",1(773)626-6988,3,AUSTIN,37,Emma M. Mitts
YCCS - CCA ACADEMY,400128,POINT (-87.72366217187063 41.864943352149254),1231 S Pulaski Rd,60623,41.864943,-87.723662,Options,Charter,HS,"10, 11, 12",1(773)762-2272,5,NORTH LAWNDALE,24,Michael D. Chandler
YCCS - HOUSTON,400129,POINT (-87.61356238526882 41.77418269849911),6620 S Dr Martin Luther King Jr Dr,60637,41.773962,-87.61574,Options,Charter,HS,"10, 11, 12",1(773)723-9631,9,WOODLAWN,3,Patricia R. Dowell
YCCS - YOUTH DEVELOPMENT,400130,POINT (-87.64173118688463 41.75137711160915),7836 S Union Ave,60620,41.751377,-87.641731,Options,Charter,HS,"10, 11, 12",1(773)224-2273,11,AUBURN GRESHAM,6,Roderick T. Sawyer
YCCS - CAMPOS,400131,POINT (-87.69600602271211 41.90284969690219),2739 W Division St,60622,41.90285,-87.696006,Options,Charter,HS,"10, 11, 12",1(773)342-8022,5,WEST TOWN,26,Roberto Maldonado
YCCS - INNOVATIONS,400133,POINT (-87.62773414533866 41.88304717129258),17 N. State St.,60602,41.883047,-87.627734,Options,Charter,HS,"10, 11, 12",1(312)999-9360,6,LOOP,42,Brendan M. Reilly
YCCS - ADDAMS,400134,POINT (-87.64488797557976 41.85720785611458),1814 S Union Ave,60616,41.857208,-87.644888,Options,Charter,HS,"10, 11, 12",1(312)563-1748,7,LOWER WEST SIDE,11,James A. Balcer
YCCS - LATINO YOUTH,400135,POINT (-87.69543001372814 41.85466465534544),2001 S California Ave,60608,41.854665,-87.69543,Options,Charter,HS,"10, 11, 12",1(773)648-2130,7,SOUTH LAWNDALE,12,George A. Cardenas
YCCS - OLIVE HARVEY,400136,POINT (-87.59233320205446 41.71292209999135),10001 S Woodlawn Ave,60628,41.712922,-87.592333,Options,Charter,HS,"10, 11",1(773)291-6517,12,PULLMAN,8,Michelle A. Harris
