the_geom,SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.67449459893486 41.915913801094945),609896,DRUMMOND,"1845 W Cortland St, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6744945992,41.9159138022
POINT (-87.67554666012475 41.78122517253027),609897,EARLE,"2040 W 62nd St, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6755466606,41.7812251731
POINT (-87.70795263348174 41.774420451594345),609898,EBERHART,"3400 W 65th Pl, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.707952634,41.7744204524
POINT (-87.81116978485632 42.004407921137776),609899,EBINGER,"7350 W Pratt Ave, 60631",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.8111697846,42.0044079217
POINT (-87.6216526075813 41.68541839968939),609900,CURTIS,"32 E 115th St, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6216526077,41.6854184004
POINT (-87.7618404744351 41.99943683277353),609901,EDGEBROOK,"6525 N Hiawatha Ave, 60646",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7618404749,41.9994368337
POINT (-87.63430552125133 41.669444022412314),609902,METCALFE,"12339 S Normal Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6343055215,41.6694440228
POINT (-87.72585617790203 41.805541539105775),609903,EDWARDS,"4815 S Karlov Ave, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7258561778,41.8055415402
POINT (-87.76658937771538 41.88552957975924),609904,ELLINGTON,"243 N Parkside Ave, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7665893774,41.8855295806
POINT (-87.7158044315032 41.87574412263659),609907,ERICSON,"3600 W 5th Ave, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7158044313,41.8757441232
POINT (-87.66915866999116 41.68941960556063),609908,ESMOND,"1865 W Montvale Ave, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6691586697,41.6894196067
POINT (-87.68131030372447 41.83155516065107),609909,EVERETT,"3419 S Bell Ave, 60608",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.681310304,41.8315551612
POINT (-87.74933062514465 41.93578457297129),609910,FALCONER,"3020 N Lamon Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7493306251,41.9357845742
POINT (-87.7660716581908 41.979790054887566),609912,FARNSWORTH,"5414 N Linder Ave, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7660716577,41.9797900559
POINT (-87.64041364558067 41.71118362225583),609917,FERNWOOD,"10041 S Union Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.640413646,41.7111836227
POINT (-87.66998540067715 42.00966385468162),609918,FIELD,"7019 N Ashland Ave, 60626",ES,"4, 5, 6, 7, 8",District,-87.6699854012,42.0096638553
POINT (-87.60863289647321 41.78518281585605),609919,FISKE,"6020 S Langley Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6086328968,41.7851828168
POINT (-87.70511207710514 41.85077148359955),609920,KANOON,"2233 S Kedzie Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7051120774,41.850771484
POINT (-87.69600587942459 41.847947431747436),609921,TELPOCHCALLI,"2832 W 24th Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6960058794,41.8479474326
POINT (-87.75684290297947 41.92015004630977),609922,BELMONT-CRAGIN,"5252 W Palmer St, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7568429035,41.920150047
POINT (-87.65548116090856 41.72967267412901),609924,FORT DEARBORN,"9025 S Throop St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6554811604,41.7296726751
POINT (-87.70216290437963 41.87016771714874),609925,KELLMAN,"3030 W Arthington St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7021629045,41.8701677176
POINT (-87.63551281031579 41.90659998946294),609926,FRANKLIN,"225 W Evergreen Ave, 60610",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6355128103,41.9065999905
POINT (-87.66809931234333 41.73842547724147),609927,FOSTER PARK,"8530 S Wood St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6680993119,41.7384254778
POINT (-87.61178404265375 41.81800340293327),609928,FULLER,"4214 S St Lawrence Ave, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6117840427,41.8180034037
POINT (-87.66843588180264 41.797580270019274),609929,FULTON,"5300 S Hermitage Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6684358814,41.7975802712
POINT (-87.71689166480509 41.91761651373583),609930,FUNSTON,"2010 N Central Park Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7168916649,41.9176165144
POINT (-87.67193897621 42.02109055717383),609933,GALE,"1631 W Jonquil Ter, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6719389761,42.0210905582
POINT (-87.53517530585388 41.70680099884353),609935,GALLISTEL,"10347 S Ewing Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5351753062,41.7068009998
POINT (-87.79623511407263 41.976351663260274),609937,GARVY,"5225 N Oak Park Ave, 60656",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7962351135,41.9763516642
POINT (-87.71869663582645 41.83706515120611),609938,GARY,"3740 W 31st St, 60623",ES,"PK, 3, 4, 5, 6, 7, 8",District,-87.7186966352,41.8370651521
POINT (-87.62371943750111 41.72533227855046),609939,GILLESPIE,"9301 S State St, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6237194379,41.7253322795
POINT (-87.67596551356017 41.76061412672374),609941,RANDOLPH,"7316 S Hoyne Ave, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6759655137,41.760614128
POINT (-87.69289969583106 41.9228310066053),609942,GOETHE,"2236 N Rockwell St, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6928996958,41.9228310077
POINT (-87.6225456606333 41.670617539510694),609943,OWENS,"12302 S State St, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6225456611,41.6706175402
POINT (-87.55330671029182 41.66248099818303),609944,GRISSOM,"12810 S Escanaba Ave, 60633",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5533067097,41.662480999
POINT (-87.65791249240219 41.975816529586815),609945,GOUDY,"5120 N Winthrop Ave, 60640",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6579124929,41.9758165306
POINT (-87.64334423562201 41.813303728919124),609947,GRAHAM,"4436 S Union Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6433442353,41.8133037295
POINT (-87.75711559859316 41.948763578738756),609949,"GRAY, W","3730 N Laramie Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7571155988,41.9487635797
POINT (-87.71719032015918 41.83879051932452),609950,ORTIZ DE DOMINGUEZ,"3000 S Lawndale Ave, 60623",ES,"PK, K, 1, 2",District,-87.7171903206,41.8387905205
POINT (-87.5975029309574 41.81117346166929),609951,ARIEL,"1119 E 46th St, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5975029314,41.8111734622
POINT (-87.67149236962507 41.829669280594075),609952,GREENE,"3525 S Honore St, 60609",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.6714923698,41.8296692818
POINT (-87.71866612901917 41.870742161904005),609954,GREGORY,"3715 W Polk St, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7186661287,41.8707421629
POINT (-87.6450252374513 41.73892015701293),609955,GRESHAM,"8524 S Green St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6450252379,41.7389201582
POINT (-87.75880329372156 41.775464260680124),609956,GRIMES,"5450 W 64th Pl, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7588032937,41.7754642618
POINT (-87.69936418519978 41.81300736946093),609958,GUNSAULUS,"4420 S Sacramento Ave, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6993641852,41.8130073703
POINT (-87.63380633095656 41.849958315448625),609959,HAINES,"247 W 23rd Pl, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6338063315,41.8499583158
POINT (-87.7765787090829 41.78019173126069),609960,HALE,"6140 S Melvina Ave, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7765787091,41.7801917323
POINT (-87.55186171886463 41.74375308254673),609961,HEROES,"8344 S Commercial Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5518617191,41.7437530837
POINT (-87.67086537303385 41.9452196541829),609963,HAMILTON,"1650 W Cornelia Ave, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6708653735,41.9452196546
POINT (-87.66117465983926 41.807241557294766),609964,HAMLINE,"4747 S Bishop St, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6611746594,41.8072415579
POINT (-87.69624330091553 41.852719134125216),609966,HAMMOND,"2819 W 21st Pl, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6962433006,41.8527191348
POINT (-87.68566784266554 41.84921490516214),609967,FINKL,"2332 S Western Ave, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6856678431,41.8492149059
POINT (-87.72393113204004 41.91481634101467),609968,MCAULIFFE,"1841 N Springfield Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7239311319,41.9148163419
POINT (-87.58685459669739 41.793447242937695),609969,HARTE,"1556 E 56th St, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5868545968,41.7934472441
POINT (-87.63273687422281 41.757340541424945),609971,HARVARD,"7525 S Harvard, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6327368738,41.7573405423
POINT (-87.72312803497978 41.96402870839728),609972,HAUGAN,"4540 N Hamlin Ave, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7231280352,41.9640287096
POINT (-87.73431332380997 41.841393803375034),609973,ZAPATA,"2728 S Kostner Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7343133242,41.8413938044
POINT (-87.65770887713292 41.9422754880435),609974,HAWTHORNE,"3319 N Clifton Ave, 60657",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6577088769,41.9422754889
POINT (-87.75581325276387 41.89917135484533),609975,HAY,"1018 N Laramie Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7558132531,41.8991713561
POINT (-87.6685037746682 41.9945408856925),609976,HAYT,"1518 W Granville Ave, 60660",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6685037745,41.9945408867
POINT (-87.59439199560451 41.773365531535546),609977,WOODLAWN,"6657 S Kimbark Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.594391996,41.773365532
POINT (-87.60466040818855 41.707557616833554),609978,SMITH,"744 E 103rd St, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6046604085,41.7075576174
POINT (-87.64034074985236 41.83959485551953),609979,HEALY,"3010 S Parnell Ave, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6403407501,41.8395948563
POINT (-87.7457260568699 41.80817499924241),609981,HEARST,"4640 S Lamon Ave, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7457260572,41.8081750003
POINT (-87.67332725897988 41.80711213143929),609983,HEDGES,"4747 S Winchester Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6733272594,41.807112132
POINT (-87.73580189345245 41.87866464687076),609985,HEFFERAN,"4409 W Wilcox St, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.735801894,41.8786646473
POINT (-87.67188730720532 41.79059128647526),609986,HENDERSON,"5650 S Wolcott Ave, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6718873069,41.7905912872
POINT (-87.63366447727905 41.815787750861396),609987,HENDRICKS,"4316 S Princeton Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.633664477,41.8157877519
POINT (-87.71563237170022 41.95898879701257),609988,HENRY,"4250 N Saint Louis Ave, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7156323718,41.9589887977
POINT (-87.62861500383094 41.86687450538593),609990,SOUTH LOOP,"1212 S Plymouth Ct, 60605",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.628615004,41.8668745064
POINT (-87.71899385437372 41.862081296189544),609991,HERZL,"3711 W Douglas Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.718993854,41.8620812968
POINT (-87.67218159330169 41.80977029629537),609993,LARA,"4619 S Wolcott Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6721815932,41.8097702973
POINT (-87.71036161379189 41.97033523440857),609994,HIBBARD,"3244 W Ainslie St, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7103616136,41.9703352353
POINT (-87.77912305214302 41.98367169519542),609995,HITCH,"5625 N McVicker Ave, 60646",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7791230522,41.9836716963
POINT (-87.65379166831435 41.838027387031694),609996,HOLDEN,"1104 W 31st St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6537916682,41.8380273882
POINT (-87.64979535548208 41.79378764864115),609997,HOLMES,"955 W Garfield Blvd, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6497953559,41.7937876495
POINT (-87.75939838514245 41.89361221058601),610000,HOWE,"720 N Lorel Ave, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7593983848,41.8936122116
POINT (-87.5682281016789 41.73333775178664),610002,HOYNE,"8905 S Crandon Ave, 60617",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5682281011,41.7333377526
POINT (-87.6536334470717 41.74245162654451),610003,CUFFE,"8324 S Racine Ave, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6536334476,41.7424516276
POINT (-87.611244458428 41.70033514086694),610004,CULLEN,"10650 S Eberhart Ave, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6112444583,41.7003351419
POINT (-87.73177738714124 41.86051773774005),610005,"HUGHES, C","4247 W 15th St, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.731777387,41.8605177384
POINT (-87.71954083263259 41.76678528121033),610006,HURLEY,"3849 W 69th Pl, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7195408323,41.7667852817
POINT (-87.65336555308967 41.871254823914555),610009,GALILEO,"820 S Carpenter St, 60607",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6533655527,41.8712548243
POINT (-87.67580971870883 41.93924749646116),610010,JAHN,"3149 N Wolcott Ave, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6758097189,41.939247497
POINT (-87.70052941984592 41.98464077590956),610011,JAMIESON,"5650 N Mozart St, 60659",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7005294202,41.9846407763
POINT (-87.64105555968784 41.902054841191266),610012,JENNER,"1119 N Cleveland Ave, 60610",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6410555598,41.9020548417
POINT (-87.66220943343347 41.858848875127656),610013,PILSEN,"1420 W 17th St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6622094335,41.8588488763
POINT (-87.65230159448453 41.85806477637944),610015,JUNGMAN,"1746 S Miller St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6523015944,41.8580647771
POINT (-87.67723250603343 41.72526343941196),610016,KELLOGG,"9241 S Leavitt St, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6772325066,41.7252634398
POINT (-87.69731553741838 41.84794071549516),610017,SAUCEDO,"2850 W 24th Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.697315538,41.8479407166
POINT (-87.64089202544183 41.776452809875806),610019,KERSHAW,"6450 S Lowe Ave, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6408920253,41.7764528106
POINT (-87.71423364672151 41.90450276371701),610021,CASALS,"3501 W Potomac Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7142336469,41.904502765
POINT (-87.6682224666446 42.00364046247936),610022,KILMER,"6700 N Greenview Ave, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6682224667,42.0036404629
POINT (-87.71601740734381 41.84848776988237),610024,CARDENAS,"2345 S Millard Ave, 60623",ES,"PK, K, 1, 2, 3",District,-87.7160174071,41.8484877708
POINT (-87.77948259998581 41.78996463373201),610026,KINZIE,"5625 S Mobile Ave, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7794826001,41.7899646348
POINT (-87.63952072119606 41.72362690530607),610027,KIPLING,"9351 S Lowe Ave, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6395207214,41.723626906
POINT (-87.66509327199046 41.90888612755934),610029,LOZANO,"1501 N Greenview Ave, 60642",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6650932725,41.908886128
POINT (-87.60248144781133 41.79800187755761),610030,KOZMINSKI,"936 E 54th St, 60615",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6024814476,41.798001878
POINT (-87.65250013920128 41.7192919470327),610032,GREEN,"1150 W 96th St, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6525001397,41.7192919481
POINT (-87.6375648635131 41.913899532240116),610033,LASALLE,"1734 N Orleans St, 60614",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6375648638,41.913899533
POINT (-87.71295678680646 41.8629600240244),610034,LAWNDALE,"3500 W Douglas Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7129567869,41.8629600248
POINT (-87.75454995058135 41.90682604943746),610036,LEWIS,"1431 N Leamington Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7545499505,41.9068260506
POINT (-87.65993281795551 41.7976848317794),610037,LIBBY,"5300 S Loomis Blvd, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6599328174,41.7976848326
POINT (-87.64449730395249 41.92452481554802),610038,LINCOLN,"615 W Kemper Pl, 60614",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6444973036,41.9245248165
POINT (-87.70263467430392 41.94000927950655),610039,VON LINNE,"3221 N Sacramento Ave, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7026346744,41.94000928
POINT (-87.74851501351564 41.91881409549009),610040,LLOYD,"2103 N Lamon Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.7485150133,41.9188140963
POINT (-87.79560407108775 41.93176235386544),610041,"LOCKE, J","2828 N Oak Park Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7956040707,41.9317623545
POINT (-87.7839188468446 41.91271802632649),610043,LOVETT,"6333 W Bloomingdale Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7839188472,41.9127180272
POINT (-87.71021700196137 41.906519590642205),610044,LOWELL,"3320 W Hirsch St, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7102170022,41.9065195916
POINT (-87.77717419891789 41.93419216195367),610046,LYON,"2941 N McVicker Ave, 60634",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7771741985,41.934192163
POINT (-87.59071239557854 41.7595480593299),610047,MADISON,"7433 S Dorchester Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5907123955,41.7595480605
POINT (-87.63982651349252 41.90824688157034),610048,MANIERRE,"1420 N Hudson Ave, 60610",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6398265131,41.9082468827
POINT (-87.75815425697515 41.920154769734886),610051,NORTHWEST,"5252 W Palmer St, 60639",ES,"6, 7, 8",District,-87.7581542565,41.9201547704
POINT (-87.57481563733104 41.74827412688152),610052,MANN,"8050 S Chappel Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5748156376,41.748274128
POINT (-87.69702979923206 41.77388107943701),610053,MARQUETTE,"6550 S Richmond St, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6970297997,41.7738810803
POINT (-87.552483426299 41.71658801422081),610054,MARSH,"9822 S Exchange Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5524834263,41.7165880149
POINT (-87.70809202044725 41.87971359062364),610055,FARADAY,"3250 W Monroe St, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7080920199,41.8797135916
POINT (-87.73167243317674 41.85686370029008),610056,MASON,"4217 W 18th St, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7316724333,41.8568637007
POINT (-87.69211506377934 41.780903897781826),610057,FAIRFIELD,"6201 S Fairfield Ave, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6921150641,41.7809038986
POINT (-87.6572874390699 41.9232035215517),610059,MAYER,"2250 N Clifton Ave, 60614",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6572874387,41.9232035225
POINT (-87.66098467185456 41.87429963784802),610060,"JACKSON, A","1340 W Harrison St, 60607",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.660984672,41.8742996388
POINT (-87.64110257532762 41.82999286271181),610062,MCCLELLAN,"3527 S Wallace St, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6411025749,41.8299928633
POINT (-87.70630009267421 41.842267165253034),610063,MCCORMICK,"2712 S Sawyer Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.7063000924,41.8422671657
POINT (-87.60935721102054 41.77542384358335),610065,TILL,"6543 S Champlain Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6093572107,41.7754238441
POINT (-87.61921444366602 41.73454990758765),610066,MCDADE,"8801 S Indiana Ave, 60619",ES,"K, 1, 2, 3, 4, 5, 6",District,-87.6192144433,41.7345499085
POINT (-87.69178650208616 41.76814276384329),610067,MCKAY,"6901 S Fairfield Ave, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6917865024,41.768142765
POINT (-87.76151477061356 41.92395525728403),610068,HANSON PARK,"5411 W Fullerton Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.761514771,41.9239552583
POINT (-87.67628825215505 41.967846866944384),610070,MCPHERSON,"4728 N Wolcott Ave, 60640",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6762882527,41.9678468682
POINT (-87.68318458636575 41.89208216526377),610073,MITCHELL,"2233 W Ohio St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6831845865,41.8920821664
POINT (-87.71922375096231 41.92998860303459),610074,MONROE,"3651 W Schubert Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7192237512,41.9299886036
POINT (-87.6664442308517 41.86472415386988),610075,MONTEFIORE,"1310 S Ashland Ave, 60608",ES,8,District,-87.6664442314,41.8647241544
POINT (-87.69694138617929 41.91250548308736),610076,MOOS,"1711 N California Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6969413866,41.9125054837
POINT (-87.68854925525291 41.78431328076809),610077,MORRILL,"6011 S Rockwell St, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6885492556,41.784313282
POINT (-87.65157334215013 41.94900330015414),610078,INTER-AMERICAN,"851 W Waveland Ave, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6515733418,41.9490033007
POINT (-87.64133980576402 41.84440015810834),610081,SHERIDAN,"533 W 27th St, 60616",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6413398053,41.8444001593
POINT (-87.70580994472903 41.6957338615494),610082,MOUNT GREENWOOD,"10841 S Homan Ave, 60655",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7058099453,41.6957338625
POINT (-87.78963033157311 41.97012488233337),610083,BEARD,"6445 W Strong St, 60656",ES,"PK, K",District,-87.7896303313,41.9701248828
POINT (-87.69727833700603 41.69717033376076),610084,KELLER,"3020 W 108th St, 60655",ES,"1, 2, 3, 4, 5, 6, 7, 8",District,-87.6972783365,41.6971703346
POINT (-87.64765248687098 41.70195211636729),610086,MOUNT VERNON,"10540 S Morgan St, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6476524864,41.7019521175
POINT (-87.79060442456863 41.77655626926709),610087,BLAIR,"6751 W 63rd Pl, 60638",ES,PK,District,-87.7906044249,41.7765562702
POINT (-87.72188814467631 41.92090964906956),610088,MOZART,"2200 N Hamlin Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7218881442,41.9209096496
POINT (-87.7168318552293 41.9500777530905),610089,MURPHY,"3539 W Grace St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7168318549,41.9500777536
POINT (-87.5933404053317 41.79853548435717),610090,MURRAY,"5335 S Kenwood Ave, 60615",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5933404059,41.798535485
POINT (-87.638957725196 41.66487334928807),610091,"BROWN, R","12607 S Union Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.638957725,41.6648733502
POINT (-87.74793587821061 41.89180975019866),610092,NASH,"4837 W Erie St, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7479358786,41.891809751
POINT (-87.62093345511654 41.738406594368776),610093,NEIL,"8555 S Michigan Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6209334548,41.7384065949
